Original Title,Expected V2.1 title ,Comments,ONet SOC Set Ordered by Score,Description
Sales Consultant,Sales Consultant,,[41],"pFULL-TIME AND PART-TIME POSITIONS AVAILABLE!ppWHAT DO CARMAX SALES CONSULTANTS DO?pAt CarMax, Sales Consultants work with customers through each and every step of the sales process. pThe steps to our process include:p- Communicating to customers what makes CarMax uniquep- Interviewing customers to determine their needs and wantsp- Presenting our vehiclesp- Taking test drivesp- Running credit applicationsp- Processing transaction paperworkp- Supporting our on-line customers via our eSales officep- Following up with potential customers pWHAT DOES IT TAKE TO BE SUCCESSFUL?p(Read carefully because this is VERY IMPORTANT!)p- A strong ability to work with and relate to all types of customers and to earn their respectp- Self-motivation and a burning desire to be the very best! With consistently strong sales performance, CarMax Sales Consultants can advance to club level status, such as Directors Club and Presidents Club.p- Strong customer focus!p- A strong belief in our Company! Sales Consultants take pride in presenting our vehicles, and are always dedicated to finding the right vehicle for every customer.p- A strong ability to find solutions to sales challengesp- Exceptional speaking and active-listening skillsp- Good computer skillsp- A PASSION FOR SELLING in a Team oriented environment!pIS THERE ANYTHING ELSE I NEED TO KNOW? YES - p- You MUST enjoy the varied hours of a retail work schedule.p- A valid driverscense is required.p- Ability to drive a manual transmission or a willingness to learn is also important!"
LPN - Telephonic,Licensed Practical Nurse (LPN),,[29],"bJob Classification:  Contract brr/Shift:  M-F between the hours of 9a and 9p.  (8 hour shifts)Environment:  Office environment - high volume, call-center setting.The objective of the Telephonic Nurse Clinician LPN is to primarily perform a Clinical Assessment for new and existing patients in accordance with the Clinical Protocols and guidelines. The nurse will collect clinical data to fulfill the Clinical Program requirements specific to the drugs and/or the disease. ESSENTIAL FUNCTIONS: The 5 or 6 major task areas required to successfully perform in this job. 1. To perform a Clinical Assessment and thereafter to provide disease and /or drug specific education and counseling to the patient and/or caregiver. The Clinician is responsible for documenting the assessment, counseling and/or any clinical intervention according to the Clinical program and guidelines. 50% 2. Collect clinical data as determined by the Clinical Programs and guidelines. 20% 3. The Clinician will contact the patientï¿½ï¿½ï¿½s treating physician to inform him/her of any previously unreported new symptoms, side effects, compliance issues and any other health related matters that were identified on the Clinical Assessment. 10% 4. The Clinician will report Adverse Drug Events that have been experienced by the patient in accordance with the FDA and/or Pharmaceutical requirements. 15% 5. Other duties as needed. 3% 6. Responsible for good housekeeping techniques, adhering to quality and production standards while complying with all applicable company, state and federal safety and environmental programs and procedures. 2% QUALIFICATIONS: Minimum requirements to competently perform the key responsibilities of this job in terms of educational background, work experience,censes/certifications or other knowledge, skills, and abilities.censed Practical Nursing program (LPN) certification required. Active Nursingcense in the state of Florida and/or crossed-licensed. Minimum 5 years of nursing hands-on experience, direct patient care service experience. Knowledge and experience in the areas of Neurology /Multiple sclerosis, Rheumatology, Dermatology, Pulmonology, Gastroenterology, Infectious Disease, Asthma, Oncology, or Pediatrics. Specialty Pharmacy experience preferred. Good phone etiquette and previous telephonic clinician work experience is preferred. Demonstrated ability to work cross-functionally so as to improve quality and service. Knowledge of Microsoft applications. Good analytical, interpersonal, problem solving, verbal and written communication skills Demonstrate the ability to multi-task and is detail oriented. Ability to read, to analyze, and interpret general business periodicals, professional journals, technical procedures, or governmental regulations. Ability to define problems; collects and analyzes data, establish facts, and draw valid conclusions. Able to adapt in a dynamic fast paced work environment. "
ENTRY LEVEL SALES / ACCOUNT EXECUTIVE,Account Executive,,[41],"Card Payment Direct is nationally recognized as a leader in the payment processing, merchant services industry. We provide electronic payment processing services such as credit and debit card processing, check services, gift and loyalty cards and merchant cash advance to all sizes and types of businesses.brbrWe are looking for money-motivated, ambitious Sales Professionals that are looking to work with a company that enables you to achieve your highest potential with the highest rewards for your efforts.brbrAt Card Payment Direct we embrace individual growth and achievement and want to help you create a successful career in sales. We offer an extremely competitive compensation plan that rewards top performers with an unlimited income potential, career advancement opportunities and continuous training that is focused on helping you reach your goals and be the best you can be.br pWe are seeking individuals that possessleadershipqualities,have greatcommunicationskills,excel through competition and have the drive to succeed.    Professional appearance and demeanor   Basic computer knowledge   Friendly, positive, optimistic attitude   Ability to start immediately   Vehicle and valid driverrsquo;scense.   High school degree or higher   Great communication and presentation skills   Strong desire to be the best pstrongCOMPENSATION /strongbrul   Pre-Set Daily Appointments   $3,000 Signing Bonus   Upfront Per Account Bonuses em(Up To $2,000 Per Deal) /em   Proposal Bonuses   $500 Quick Start Bonus   Weekly Bonuses em(Up To $300 Per Week)/em   Monthly Bonuses em(Up To $4,000 Per Month)/em   Long-Term Residual Income   Application amp; Set Up Fee Commission   Daily Pay em(Daily Direct Deposit) /em   Free Equipment Program   Full Comprehensive Training   $85,000 - $125,000 Annually em(Average Earnings) /em   Free, Unlimited Business Cards amp; Marketing Material "
PHARMACIST - prn-1205023336,Pharmacist,,[29],"strongJob: /strong &#160;Pharmacist/Staff/Clinical strongHospital/Facility: /strong &#160;629-Coastal Carolina Medical Center - Hardeeville, SC strongShift Type* : /strong &#160;Days strongIf other shift, specify : /strong &#160; strongShift begin time: /strong &#160; strongShift end time: /strong &#160; The Pharmacist is responsible for the safe, accurate and rational distribution and utilization of pharmaceutical agents to patients of all ages. The Pharmacist works under the direction of the Pharmacy Manager. The work is carried out in accordance with all state and federal laws, JCAHO standards and hospital/departmental policies and procedures. /Tenet offers equal employment opportunity to all applicants for employment and to all employees regardless of sex, age, race color, religious creed, national origin, ancestry, marital status, sexual orientation, or disability.&#160;// Must have current SCcense as a Registered Pharmacist."
Gymnastics Director Experience Required,"""Gymnastics Director""",the soc major returned is correct (27) but the title doesn't exist in taxonomy,"[11, 27]","Gymnastics Director Experience Required. Salary position F/T wenefits. College degree perferred. Must be available nights and wkends.  Send resume to tiffany.orem@ allaboutkids.cc     brbrSource - Courier Journal - Louisville, KY Please refer to the Job Description to view the requirements for this job"
Senior Network Contract Manager -- Telecommute,Contract Manager,,"[11, 15]","What makes your career greater with UnitedHealth Group? Growth opportunities among the variety of productnes and making an impact on the healthcare system ensures it will always be challenging and exciting. The Senior Network Contract Manager develops the Durable Medical Equipment (DME)&#160;provider network&#160;yielding a geographically competitive, broad access, stable network that achieves objectives for unit cost performance and trend management, and produces an affordable and predictable product for customers and business partners. Senior Network Contract Managers evaluate and negotiate contracts in compliance with company contract templates, reimbursement structure standards, and other key process controls. Responsibilities also include establishing and maintaining strong business relationships with&#160;Ancillary providers, and ensuring the network composition includes an appropriate distribution of provider specialties. In this role you will be expected to:- Anticipate customer needs and proactively develop solutions to meet them.- Serve as a key resource on complex and/or critical issues.- Solve complex problems and develop innovative solutions.- Perform complex conceptual analyses.- Review work performed by others and provide recommendations for improvement.- Forecast and plan resource requirements.- Authorize deviations from standards.- May lead functional or segment teams or projects.- Provide explanations and information to others on the most complex issues.- Motivate and inspire other team members.- Experience within Ancillary field a plus Requirements:- Undergraduate degree or equivalent experience.- 5+ years experience in a network management-related role handling complex network providers with accountability for business results.- 5+ years experience in the health care industry.- 2+ years experience in contributing to the development of product pricing and utilizing financial modeling in making rate decisions- Expert level of knowledge of Medicare reimbursement methodologies such&#160;as CMS pricing and guidelines required-&#160;Experience with provider contracting preferred.- Strong customer service skillsbr Intermediate level use of MS Excel- Excellent verbal and written communication skills; ability to speak clearly and concisely, conveying complex or technical information in a manner that others can understand, as well as ability to understand and interpret complex information form others, including but notmited to reimbursement policy standards.- Strong interpersonal skills, establishing rapport and working well with others.UnitedHealthcare, part of the UnitedHealth Group family of companies, is comprised of three specialized businesses dedicated to meeting the health care benefits needs of individuals and groups; all part of something greater, but each with a specialized focus:UnitedHealthcare Employer  Individual works with individuals, small businesses and large multi-site employers to provide innovative, affordable benefits services.UnitedHealthcare Medicare  Retirement is focused on serving Americans over the age of 50. It is the largest business dedicated to meeting the growing health and well-being needs of aging individuals in the nation, serving one in five Medicare beneficiaries through a comprehensive and diversified array of products and services through four industry-leading businesses.UnitedHealthcare Community  State provides high-quality, personalized, public-sector health care programs that help local government agencies improve health outcomes for millions of children and low-income and disabled individuals at an affordable cost.Together, were removing the barriers that keep people from receiving the kind of quality health care that makes a difference. We focus on Integrity, Compassion, Relationships, Innovation and Performance as we empower people to achieve better health and well-being.Come grow and thrive in our culture of innovation and ideas. Because there is no opportunity greater than the quest to help peopleve healthierves."
HOME CARE AIDESFor Franklin &Fulton County,Home Health Aide (HHA),,"[31, 39]","HOME CARE AIDESFor Franklin Fulton County. Flexible scheduling  training if needed. Promoting from within  good working environment. All shifts, progressive benefits, paidholidays, travel time and mileage. Must have reliable transportation.Call1-800-762-24448 AM-4 PMYou must telephone the office to beeligible for a position brbrSource - Public Opinion - Chambersburg, PA Please refer to the Job Description to view the requirements for this job"
Quality Manager (659-243),Process Improvement Manager,"soc-17 doesn't have Quality Manager, but soc-11 has Quality Assurance Manager, soc51 has Quality Coordinator titles","[11, 51, 17]","br /Our client is a Fortune 1000 publicly owned corporation with operations worldwide. They are a leading, energy efficient manufacturer of electrical and mechanical motion control and power generation products serving markets throughout the world. Annual sales exceed $3B. Our client, with over 25,000 employees worldwide is headquartered in Beloit, Wisconsin, and has technology, manufacturing, sales, and service facilities throughout the United States, Canada, Mexico, Europe, China, India, Thailand and Australia. br r /Our client has beensted as one of ;Americas Best-Managed Companies; on Forbes magazines 400 Best Big Companiesst (January 2007), and as one of ;Americas Fastest Growing Companies; in Fortune magazine (September 2007).br r /We convert power into motion to help the world run more efficiently.br r Regal is a Fortune 1000 publicly owned corporation (NYSE: RBC) with operations worldwide.  Regal is a leading, energy efficient manufacturer of electrical and mechanical motion control and power generation products serving markets throughout the world.  Annual sales exceed $3B.  Regal, with over 25,000 employees worldwide is headquartered in Beloit, Wisconsin, and has technology, manufacturing, sales, and service facilities throughout the United States, Canada, Mexico, Europe, China, India, Thailand and Australia.pRegal has beensted as one of ldquo;Americas Best-Managed Companies; on Forbes magazines 400 Best Big Companiesst (January 2007), and as one of ldquo;Americarsquo;s Fastest Growing Companies; in Fortune magazine (September 2007).pWe convert power into motion to help the world run more efficiently.br r /ppWe are currently seeking a Quality Manager for our Beloit, WI location.br r /ppstrongJob Description:br r //strongp- Customer account manager with respect to Quality performance and continuous improvement in process and product qualityp- Coordinating Customer responses utilizing 8D formatp- Driving continuous improvement plans based upon customer feedback and reliability analysisp- Coordinate any Field Campaigns, as the single point of contact to the customerp- Standardize quality planning across brands across multiple manufacturing sitesp- Analysis of quality performance to customersp- Analysis of effectiveness of 8Ds to customers and global corrective action implementationp- Plan and implement with plants preventive actions related to customer quality expectations and improvement plansp- Drive quality improvement with related Group / Business Quality Directorp- Manage all Customer Quality Pulse Meetings br emWorking knowledge of the following/empembr //emp- National and International Quality Standards (TS16949, QS or ISO 9000, etc)p- PPAP / APQP / 8D Corrective Action Processp- Demonstrated problem solving abilitiesp- Team Management Skillsp- Project Managementp- Six Sigma (Green or Black Belt a plus)p- Project Managementp- Customer Negotiation Skillsbr r /ppstrongDesired Qualifications:br r //strongp- Six Sigma Green or Black Belt"
Bilingual Rep-Retail Sales (Englishish Required),Retail Sales Associate  OR Sales Representative ,,[41],"pResponsibilitiesYoure focused on your future - on finding the right fit for your talent and charisma, and making your presence known. And when you join Verizon Wireless, youll find unlimited opportunities to evolve, excel and amplify your success with a company thats continually redefining the communications industry. If youre ready to make your mark with a team that thrives on collaboration, you need to consider a future as a Verizon Wireless Retail Sales Representative. Your record is defined by meeting challenges head-on and always striving for excellence. And its that tireless drive, coupled with your strong interpersonal skills and natural instinct to see opportunities at every turn, that sets you apart - and makes you a perfect fit for our team.brrWere looking for someone who has what it takes to close sales, beat quotas and rack up commissions. You should have at least 1-2 years of sales experience in a commission environment. A college degree is preferred and bilingual Spanish skills are required. You must also be able to move throughout the store to actively engage customers, demonstrate products, and effectively execute the sales function. In return for your talent and dedication, well proudly support you with comprehensive benefits worthy of the name Total Rewards, including: award-winning training, a competitive salary, medical/dental/vision from day one, 401(k), work-life programs, phone discounts, generous tuition assistance, and unlimited opportunities to maximize your career potential. Take a giant leap toward a career for everything you are. Visit us at careersatverizonwireless.com.brWe are an equal opportunity employer m/f/d/v.brr/It takes dedicated, hard-working peopleke you to provide the nations best, most reliable wireless network. Thats why we offer some of the best benefits around. And the best part is, the day you start is the day your medical/dental/visionfe insurance, paid vacation, training and tuition reimbursement benefits start.brr/We also know how important workfe issues are in todays marketplace. And we reward you with competitive time off and employee assistance programs so you can manage work with the rest of yourfe. "
GIS ANALYST,GIS Analyst,,"[15, 19]","Adecco Engineering and Technical, a division of the world leader in the recruitment of engineering and information technology professionals, has an immediate opening for a strongGIS Analyst /strongon a direct hire position with an industry leading company in Memphis, TN. This Industry leading company is looking for candidates that meet the following specifications: brrDesign, develop and implement web-based GIS applications utilizing ESRI toolsbrCreate, analyze, and maintain maps, data, and reports; Develop, plan, and implement complex GIS applications software for the system users and operatorsbrDesign and develop complex GIS database models and templatesbrWrite, edit, install, and verify programs for debugged and edits programs for accessing, maintaining,nking and populating databases "
Medical Sales-Tissue Graftiologics-Wound Care,Medical Sales Representative,,[41],"p styletext-align:  alignpp styletext-align:  alignbspanMedical bspanSales-Tissue Graftiologics-Wound Carepp styletext-align:  alignbspanResumes toa hrefhttp://api.careerbuilder.com/v1/application/applylink?developerkey=WDH53HS62R10N37JG115JobDID=JHQ0PV61J234D7K8Z06DID=JHQ0PV61J234D7K8Z06;[Click Here to Email Your Resum]/a ppppppspanMy clientassistspatients withbiologically active regenerative therapies for wound and tissue repair. They are the current leader in the science and clinical application of regenerative medicine.Their products are some oftheonly advanced wound care therapy of its type that is FDA approved and indicated for Chronic Wounds. The targets for this position includehospitals, pharmacy, surgeons, surgi-centers and long term care facilities.span styletext-decoration: br r Profile:p   spanMedical Sales withw/Top Rankings, Presidents Club) w/ Previous BTB Backgroundske Ad Sales, Payroll, Yellowpages, Copier, Uniform, Telecom, etc.    spanMedical Sales/Device/Lab RepsBackgrounds    spanHospital Repsselling Vaccine Reps/Immunization/Diagnostic    spanSeeking reps with 1, 3 or 4 positions max since College with most recent role 2-4 years pppbspanREQUIREMENTS p   spanCollege Degree (Required)    spanSeeking 3-10 years experience level only    spanDocumented successwith stats, rankings, quota achievements    spanConsecutive and consistent years of over 100% to plan with Awards, Trips, etc    spanMust have a clean driving record(Car Provided) pppbspanOFFERING: p   spanBase Salary (based onexperience) to $85Ks    spanYearly Bonus structure and/or uncapped commissions additional $30-$50K in commissions    spanUncapped Commissions    spanBase increases with Performance    spanCompany Car with Full Car expenses (car, insurance, gas, etc.)    spanExpense Account    spanLap Top, Mobile, Home Office    spanFull Benefit Package    spanTrips for Presidents Club Winners (Hawaii, Europe, -Italy, Greece, etc) ppppp p styletext-align: justify;strongspanResumes to a hrefhttp://api.careerbuilder.com/v1/application/applylink?developerkey=WDH53HS62R10N37JG115JobDID=JHQ0PV61J234D7K8Z06DID=JHQ0PV61J234D7K8Z06;[Click Here to Email Your Resum]/abr //strongpspanDirect Sales Recruiting, LLC, (DSR) a National Recruitment organization, is partnering with Fortune 10 to Fortune 1000clients. Clients are looking forqualified sales candidates with a desire to succeed and earn a great income. spanDSR offers over 30 yrs combined Sales, Sales Managementand Recruiting experience.br /spanbr /spanDirect Sales Recruiting, LLC is an Equal Opportunity Employer and is committed to hiring and supporting a diverse workforce. A M/F/D/V "
Senior HR Manager(EPC),Human Resources (HR) Manager,,[11],"*HR Business Partner(Generalist) reporting to the Group VP/GM of the Business unitbr /*ER * br /*Staffingecruitment Strategy/College Recruiting initiativesbr /*Succession Planning and Development Programsbr /*HR Policiesbr /*Comp. programs and Incentive/Sales Comp.br /*Benefits point personbr /*Performance Managementbr / *HR Leadership prefer from EPCbr /*Global HR Generalist with excellent communications skillsbr /*Solid in Recruiting, ER, Succession Plans, T+D, Comp.Incentive plansbr /*Hands on but also strategicbr /*Ability to work at all levelsbr /*Solid Communication skillsbr /*BS degreebr /*MS-HR or MS-IR desirablebr /"
ENTRY LEVEL SALES/ACCOUNT EXECUTIVE,Account Executive,,[41],"pCard Payment Direct is seeking self-motivated, energetic, professionals that want to be part of a high-performance outside sales team. Our Sales Representatives develop new merchant processing relationships with businesses across the country, providing them with cost saving solutions. If you are looking for an opportunity that will lead you to long term professional and financial success, join our sales team at Card Payment Direct.brbrThe Outside Sales Representative duties include, but are notmited to: brul   Meeting with business owners to discuss our credit card processing services   Building a sales pipeline through frequent prospecting activity   Developing relationships and referrals with business owners in your territory   Presenting competitive sales proposals of our customized programs   Managing the sales process from introduction of services to closing the deal   Maintaining strong relationships with customers   Working with your Sales Director for ongoing support and training  pOur most successful Sales Representatives come from a wide variety of backgrounds including Sales, Management, Retail and Banking. Although specific experience is not required, we are looking for individuals with the following values:brbr   Motivated, confident, self-starter   High degree of integrity and professionalism   Excellent communication skills, closing and follow-up abilities   Professional appearance and demeanor pbrpstrongWe Offer a Fantastic Benefits and Compensation Program!/strongbrbrAt Card Payment Direct, we offer unlimited growth and advancement potential to help our Sales Representatives reach their goals. Our comprehensive training and support systems ensure that our Sales Representatives are armed with all of the tools and resources a/aneeded for continued success. brul   $3,000 SIGNING BONUS   Upfront Bonuses On EVERY New Account (Average: $300 - $400 Per Deal)   $500 ldquo;Quick Start; Bonus   Leads Provided   Residual Income   Immediate Daily Pay (All Commissions Paid Daily)   Weekly amp; Monthly Bonuses   Solid 6 Figure Income Potential   Ongoing Training And Support ndash; In-Person, One-On-One, Phone And Email   Agent Portal for Sales Documents and Training Materials   Flexible Schedule To Set Your Own Hours   NO Out-Of-Pocket Expense To Get Started   Professional Marketingterature, Business Cards And Brochures "
Insurance Sales Producer,Insurance Sales Agent,,[41],"Are you looking for a new opportunity to maximize your skills and help others? Working directly with an Allstate Exclusive Agent independent contractor might be your answer. brbrAllstate agencies strive to provide excellent service to customers by assisting them with their insurance and financial services needs. bInsurance Sales Producer opportunities are for true sales and customer-oriented individuals. In an agency staff position you will have the opportunity to work as a member of a team of professionals focused on providing insurance and financial products to help customers protect their homes, cars,ves and retirement incomes.brbrAllstate Exclusive Agents are independent contractors representing Allstate and are not Allstate employees. They have the freedom to plan their agencyrsquo;s direction, growth and future. As an agency staff member, you will be an employee of the agency and not of Allstate Insurance Company or its affiliates. Agency staff members perform a fundamental role in servicing customers, supporting agents and building strong relationships with the community. Various locations within the area. Compensation and actual job responsibilities are determined by the Exclusive Agent but duties may include:brbrul   Cross-selling existing customers with other Allstate products   Prospecting and generating new business through leads amp; referrals   Generating quotes   Conducting policy reviews amp; updating policies   Processing payments amp; reporting claims   Providing excellent customer service   Relationship building pstrongRequirements:brstrong   Excellent Communication/interpersonal skills   Confident, self-starter who works well independently   Must have ability to multi-task   Good organizational skills   A property amp; casualtycense with one year minimum insurance agency experience preferred   Life/Accident and Healthcenses are preferred   Unlicensed candidates who are willing to obtain their property and casualtycensed will also be consideredbr    br    p*Salary and Commission commensurate upon experiencebrbrIf you or someone you know wouldke additional information regarding this opportunity, please apply. brbrAll responses and referrals will remain confidential. We look forward to hearing from you!brbrkeywords: insurance, sales, marketing, allstate, state farm, farmers, producer, telemarketer, account executive, agentbrbr"
Lasermax Sheeter Operator,Bindery Operator,,[51],"pbspanReports to: spanBD Machine Bindery Supervisor or BD Bindery ManagerpbspanJob Summary:span Performs intermediate level manual and machine tasks related to Bindery operations.span Provides guidance and experience to Machine Bindery Workers Level 1.brbrstrongTHIS POSITION IS A WEEKEND ONLY POSITION.EMPLOYEE WILLWORK 36 HOURS AND GET PAID FOR40 HOURS, DAYS WORKED WILL BE FRIDAY, SATURDAY AND SUNDAY !SCHEDULE IS 6:00AM TO 6:30PM!brbrPLEASE DO NOT APPLY IF YOU CANNOT WORK THEDAYS AND HOURS SPECIFIED ABOVEgt;strongpbspanGeneral Responsibilities: pspan-Thoroughly reads and understands job ticketing information.pspan-Enters production data records into computer system.pspan-Cleans up and keeps work area neat and orderly.pspan-Must comply with all plant and departmental safety rules.pspan-Adhere to company attendance standards.pspan-Must be knowledgeable of companyrsquo;s quality system.pspan-All other duties as assigned by management related to the job title.pbspanbrJob Specific Duties:pspan- spanMust be able to operate some machine bindery equipment (without supervision) to include: Lasermax Roll Systems Unwinder/slit-merge unit/cutter/stacker.pspan- spanTroubleshooting and assessment of equipment problems. Contact manufacturer for support.pspan- spanProvides updates to Bindery Supervision of impending problems, issues, or other production or scheduling concerns.pspan- spanWorks in conjunction with Ink Jet press operators for run order amp; job details.pspan- spanResponsible for assisting with maintenance of equipment in machine bindery.pspan- spanMake observations amp; recommendations for any consumable supplies needed.pbspan pbspanJob Requirements:aspan Ability to read and understand written instructions including those dealing with dimensions and quantity. Ability to apply written and verbal instructions to machine operation. Knowledge of the operation and function of other bindery equipment and machinery. Good manual dexterity. Ability to bend,ft and carry up to 60 lbs. Standing on hard surfaces for extended periods./ab pbspanMinimum Qualifications:span aHigh school diploma or GED/a. Previous Bindery and bindery machine experience required.b"
Corporate Accountant,Corporate Accountant,,"[13, 11, 43]","brpspanNorthland Investment Corporation is a fully integrated real estate operating company focused on the acquisition, development, operation and long-term ownership of commercial and multifamily real estate. Northland is a fast paced, highly principled entrepreneurial company headquartered in Newton, MA with interests nationwide.brbrpWe are currently seeking a Corporate Accountant in ourcorporate office in Newton, MA. Responsibilities include but are notmited to: review an prepare financial statements and reports for Northlands corporate, management, and development groups, maintain timely and accurate accounting and financial records, perform full cycle accounting including month-endGL closings,and prepare budgets and forecasting reports.brbrPlease send resume and cover letter with salary requirements to a hrefhttp://api.careerbuilder.com/v1/application/applylink?developerkey=WDH53HS62R10N37JG115JobDID=JHV2H065XV1FVWSM0CJDID=JHV2H065XV1FVWSM0CJ;[Click Here to Email Your Resum]/a . 3-5 years of related experience and a Bachelors Degree in Accounting or related field required. Excellent computer skills including MS Office, and operating in a LAN and WAN environment required. Must have strong communication and organization skills and ability to work in a fast paced environment."
Linux Quality Assurance Engineer,Quality Assurance Engineer OR IT Quality Assurance Analyst,,[15],"strongIntro /strong &#160;RightScale is looking for anux Quality Assurance Engineer to join our engineering team. At RightScale, we use Agile programming techniques, such as test-driven development, continuous integration and testing, and story-based iterative development to build better software and to build software in a better way. In this role we look for critical thinkers - people who can rapidly consume domain knowledge and determine comprehensive, meaningful test suites based on close collaboration with our developers. We place a high value on exploratory testing and other creative testing strategies.brr/hrbrrstrongJob responsibilities include, but are notmited to the following:/strongliHandle QA testing related tasks while embedded in a engineering scrum teambrUtilize scripting languages to develop regression test automation suites for server clusters in the cloud.brVerify virtual machine images on many different clouds and distributions to be published to RightScales MultiCloud Marketplace.brVerify ServerTemplatesightScripts/MultiCloudImages to be published the RightScales MultiCloud MarketplacebrContribute to the knowledgebase, wiki and other RightScale resources to help build the best customer experience.brstrongThe ideal candidate has a Technical Background and Experience that includes:/strongliStrongnux debugging and troubleshooting skills.brAbility to diagnose and identifynux system configuration problems.brKnowledge of distro specific package managers and how they are configured.brExperience with a source control management tool (preferably SVN or Git).brBasic understanding SQL command syntax and Database replication concepts.brThe ideal candidate will be familiar with configuring NTP, iptables and apache.br1 - 3 years experience in at least one scripting language. (i.e. Bash, Perl, Ruby, python, etc)brPassion fornux, cloud computing and deploying internet servicesbrExcellent attention to detailbrExperience withnux system administration is a plus, but not required.brstrongAll candidates are expected to possess the following skill set:/strongliSelf-starting learner who thrives under pressure and enjoys successbrExcellent communication skills and strong organizational skillsbrDedication to individual development, challenging teamwork, and new technologybrFlexibility in a dynamically growing/evolving companybrbrightScale is a great place to work and we are looking for only the best.brr/hrbr class=head1 "
ROUTE SALES REPRESENTATIVE TRAINEE - FOOD SALES ASSOCIATE,Route Sales Representative,,"[41, 53]","pspan styletext-align: justify;If you are a personable and self-motivated individual who is looking for a rewarding sales career in a fast-paced, people-oriented environment, join the Schwanrsquo;s team today! We are looking for an enthusiastic and driven person to serve as a Route Sales Representative Trainee. In your role as a Route Sales Representative Trainee, you will learn how to be a Route Sales Representative, whose job is to deliver a full range of high-quality frozen foods to families in residential homes as well as to businesses, group stops and senior centers and to develop new business by adding new customers. Since you will train for a commission-enhanced position, you will ultimately increase your income every time you add a new customer to your route.p alignleft;p alignstrongspanhrRoute Sales Representative Trainee ndash; Food Sales Associatestronghrp alignleft;strongJob Responsibilities/strongp alignleft;p alignleft;spanAs a Route Sales Representative Trainee, you will develop your skills to eventually be given a route of your own as a full Route Sales Representative. In your role as a Route Sales Representative Trainee, you will work closely with your manager who will train you and help you to develop your knowledge of our products and sales techniques.p alignleft;spanp alignleft;spanYour specific duties as a Route Sales Representative Trainee will include:p alignleft;span   Filling in for Route Sales Representatives who are out sick or on vacation   Riding along with your manager on route deliveries   Building new business via canvassing   Becoming familiar and comfortable with operating a Schwanrsquo;s truck   Making scheduled delivery rounds on time and with an eye toward sales and customer service   Ensuring before leaving on your route that all delivery items are on truck, including a supply of daily and weekly focus items   Treating all customers in a friendly, courteous and professional manner   Offering customers suggested daily and weekly focus items as well as seasonal items   Leaving customers with a dated sticker to remind them of when your next visit will be    Entering delivery confirmations, new customer info, upselling info and preorders into handheld device   Observing and complying with all Department of Transportation regulations   Performing all duties with a commitment to safety   Assisting at fundraising events as needed    Covering routes in other locations as neededp alignleft;spanp alignstrongspanhrRoute Sales Representative Trainee ndash; Food Sales Associate/stronghrstrong/strongp/ pspanAs a Route Sales Representative Trainee you must have the desire and motivation for financial success and career advancement. You must also be able to manage yourself since you will be working on your own approximately 80% of the time once your training is completed. A competitive nature, a strong work ethic and the ability to find and develop your own business are vital for your role as a Route Sales Representative Trainee. You must also have exceptional conversational and interpersonal skills with which you can establish rapport and build an established and loyal customer base. A love of food will also be an asset for you as a Route Sales Representative Trainee.p alignleft;spanp alignleft;spanSpecific qualifications for the Route Sales Representative Trainee position include:p alignleft;span   High school degree or equivalent; Associatersquo;s degree, Bachelorrsquo;s degree or military experience are a big plus   No experience needed, but sales and customer service experience are both a plus   Valid driverrsquo;scense and a clean driving record   Passing a background check and an MVR check   Qualifying for and maintaining a valid Department of Transportation medical card   Willing to work outdoors   Computer skills preferred   Must be at least 21 years of age p alignleft;spanstrong/stronghrpstrongRoute Sales Representative Trainee ndash; Food Sales Associate/stronghrstrong/strongpstrongBenefits/strongspanstrongspanstrongspanAs a Route Sales Representative Trainee, you will be selling a top-quality product under a brand name that is widely known and respected. There is also no income cap on your earnings once you complete your training and are given a route of your own, so every new customer you add will be money in your pocket. We also have a fun and supportive company culture in which you will find it easy to get your ideas heard. Your training as a Route Sales Representative Trainee will consist of 4 weeks of one-on-one product knowledge and sales instruction as well as online training through our Infinex site. Thereafter, your training will consist of ride-alongs with experienced Schwanrsquo;s employees, equipment instruction and so forth. Once you have been given a route as a full-fledged Route Sales Representative, you will have virtually unlimited potential to build your customer base and increase your income and you will also eventually have opportunities for advancement to territory sales leadership roles, depot management positions, etc. We value your hard work and professional dedication as a Route Sales Representative Trainee and will reward you with a competitive compensation package that includes generous base-plus-commission pay as well as a benefits package.pspanYour benefits as a Route Sales Representative Trainee will include:   Medical, dental and vision coverage   Short/long-term disability insurance   401(k)   New-customer incentives   Vacation program   Combined 40% Schwanrsquo;s product discount   Other corporate discounts via the company   Shoeoot reimbursement (after 6 months of employment) p alignleft;spanstrong/strongspan styletext-align: hrstrongdiv styletext-align: strongRoute Sales Representative Trainee ndash; Food Sales Associate/strong/hr/strongp styletext-align:  alignspanstrongspanTurn your sales talents into a fun and rewarding new career! Apply now!/strongstrongbrbrEOE/strong"
